Global Land Temperature Anomalies, value
189609,-0.30
189610,-0.10
189611,-0.92
189612,-0.30
189701,-0.72
189702,-0.68
189703,-0.98
189704,-0.03
189705,0.05
189706,-0.10
189707,0.04
189708,-0.11
189709,0.03
189710,-0.20
189711,-0.44
189712,-0.57
189801,0.22
189802,-0.70
189803,-1.69
189804,-0.57
189805,-0.46
189806,-0.15
189807,-0.24
189808,-0.17
189809,-0.26
189810,-0.69
189811,-0.51
189812,0.17
189901,-0.12
189902,-0.74
189903,-0.67
189904,-0.08
189905,-0.23
189906,-0.49
189907,-0.27
189908,-0.24
189909,0.02
189910,-0.05
189911,0.60
189912,-0.67
190001,-1.15
190002,-0.35
190003,-0.03
190004,-0.28
190005,0.02
190006,-0.01
190007,-0.15
190008,-0.02
190009,-0.09
190010,0.25
190011,-0.37
190012,0.12
190101,-0.43
190102,-0.31
190103,0.20
190104,0.09
190105,-0.10
190106,0.07
190107,0.05
190108,-0.02
190109,-0.16
190110,-0.50
190111,-0.13
190112,-0.45
190201,0.20
190202,0.40
190203,-0.25
190204,-0.54
190205,-0.34
190206,-0.27
190207,-0.22
190208,-0.30
190209,-0.27
190210,-0.50
190211,-0.72
190212,-0.83
190301,-0.19
190302,0.29
190303,-0.27
190304,-0.49
190305,-0.55
190306,-0.48
190307,-0.41
190308,-0.37
190309,-0.42
190310,-0.67
190311,-0.57
190312,-0.66
190401,-0.97
190402,-0.71
190403,-0.81
190404,-0.62
190405,-0.33
190406,-0.36
190407,-0.50
190408,-0.35
190409,-0.53
190410,-0.56
190411,0.32
190412,-0.15
190501,-0.33
190502,-1.36
190503,-0.76
190504,-0.78
190505,-0.30
190506,-0.26
190507,-0.21
190508,-0.19
190509,-0.18
190510,-0.32
190511,0.19
190512,0.03
190601,-0.29
190602,-0.67
190603,-0.34
190604,0.18
190605,0.00
190606,0.02
190607,-0.19
190608,-0.20
190609,-0.26
190610,-0.26
190611,-0.55
190612,0.10
190701,-0.70
190702,-0.92
190703,-0.57
190704,-0.82
190705,-0.93
190706,-0.68
190707,-0.49
190708,-0.42
190709,-0.39
190710,-0.29
190711,-0.86
190712,-0.67
190801,-0.35
190802,-0.46
190803,-1.06
190804,-0.61
190805,-0.27
190806,-0.30
190807,-0.22
190808,-0.45
190809,-0.18
190810,-0.56
190811,-0.68
190812,-0.40
190901,-0.99
190902,-0.53
190903,-0.69
190904,-0.95
190905,-0.67
190906,-0.46
190907,-0.39
190908,-0.14
190909,-0.21
190910,-0.22
190911,0.21
190912,-0.29
191001,-0.19
191002,-0.38
191003,-0.58
191004,-0.25
191005,-0.26
191006,-0.25
191007,-0.06
191008,-0.20
191009,-0.34
191010,-0.49
191011,-0.62
191012,-0.83
191101,-0.81
191102,-0.76
191103,-0.88
191104,-0.60
191105,-0.50
191106,-0.45
191107,-0.40
191108,-0.40
191109,-0.40
191110,-0.30
191111,-0.20
191112,-0.28
191201,-0.44
191202,-0.05
191203,-0.82
191204,-0.32
191205,-0.17
191206,-0.13
191207,-0.54
191208,-0.67
191209,-0.77
191210,-0.95
191211,-0.52
191212,-0.53
191301,-0.50
191302,-0.80
191303,-0.78
191304,-0.39
191305,-0.56
191306,-0.43
191307,-0.20
191308,-0.12
191309,-0.28
191310,-0.34
191311,0.13
191312,0.47
191401,0.81
191402,0.06
191403,-0.18
191404,-0.30
191405,0.06
191406,-0.01
191407,-0.24
191408,-0.29
191409,-0.20
191410,-0.09
191411,-0.25
191412,-0.25
191501,-0.30
191502,0.07
191503,-0.22
191504,0.18
191505,0.02
191506,-0.20
191507,-0.01
191508,-0.13
191509,-0.28
191510,-0.49
191511,0.15
191512,0.00
191601,-0.17
191602,-0.27
191603,-0.60
191604,-0.35
191605,-0.37
191606,-0.55
191607,-0.35
191608,-0.41
191609,-0.40
191610,-0.40
191611,-0.56
191612,-1.17
191701,-0.52
191702,-0.89
191703,-1.00
191704,-0.63
191705,-0.93
191706,-0.56
191707,-0.25
191708,-0.38
191709,-0.28
191710,-0.71
191711,-0.17
191712,-1.30
191801,-0.65
191802,-0.65
191803,-0.46
191804,-0.77
191805,-0.79
191806,-0.50
191807,-0.43
191808,-0.42
191809,-0.21
191810,-0.03
191811,-0.34
191812,-0.88
191901,-0.61
191902,-0.22
191903,-0.55
191904,0.07
191905,-0.44
191906,-0.28
191907,-0.12
191908,-0.19
191909,-0.19
191910,-0.25
191911,-0.67
191912,-0.55
192001,-0.06
192002,-0.64
192003,-0.06
192004,-0.26
192005,-0.15
192006,-0.39
192007,-0.18
192008,-0.30
192009,-0.31
192010,-0.43
192011,-0.48
192012,-1.07
192101,0.20
192102,-0.16
192103,-0.25
192104,-0.15
192105,-0.13
192106,-0.02
192107,-0.05
192108,-0.41
192109,-0.22
192110,-0.20
192111,-0.34
192112,-0.05
192201,-0.65
192202,-0.70
192203,-0.11
192204,-0.02
192205,-0.25
192206,-0.11
192207,-0.16
192208,-0.31
192209,-0.34
192210,-0.33
192211,-0.03
192212,-0.16
192301,-0.13
192302,-0.72
192303,-0.40
192304,-0.78
192305,-0.44
192306,-0.21
192307,-0.40
192308,-0.37
192309,-0.25
192310,-0.03
192311,0.20
192312,0.09
192401,-0.50
192402,-0.31
192403,-0.07
192404,-0.48
192405,-0.23
192406,-0.17
192407,-0.12
192408,-0.27
192409,-0.17
192410,-0.26
192411,0.06
192412,-0.42
192501,-0.48
192502,-0.52
192503,-0.12
192504,0.04
192505,-0.24
192506,-0.35
192507,-0.32
192508,-0.15
192509,-0.09
192510,-0.30
192511,0.24
192512,0.55
192601,0.55
192602,0.41
192603,0.41
192604,-0.32
192605,-0.32
192606,-0.14
192607,-0.29
192608,-0.08
192609,-0.07
192610,0.07
192611,0.07
192612,-0.42
192701,-0.50
192702,-0.29
192703,-0.57
192704,-0.43
192705,-0.30
192706,-0.16
192707,-0.06
192708,-0.23
192709,0.15
192710,0.36
192711,0.07
192712,-0.62
192801,0.08
192802,-0.15
192803,-0.46
192804,-0.33
192805,-0.18
192806,-0.35
192807,-0.14
192808,-0.20
192809,-0.10
192810,-0.03
192811,0.20
192812,0.01
192901,-0.95
192902,-1.20
192903,-0.25
192904,-0.40
192905,-0.36
192906,-0.51
192907,-0.46
192908,-0.25
192909,-0.26
192910,0.02
192911,0.07
192912,-1.30
193001,-0.62
193002,-0.25
193003,0.18
193004,-0.33
193005,-0.29
193006,-0.13
193007,0.01
193008,-0.01
193009,-0.29
193010,-0.15
193011,0.35
193012,0.00
193101,-0.06
193102,-0.63
193103,-0.02
193104,-0.26
193105,-0.35
193106,0.05
193107,0.17
193108,0.18
193109,0.19
193110,0.40
193111,-0.03
193112,0.11
193201,0.83
193202,-0.38
193203,-0.46
193204,0.28
193205,-0.21
193206,-0.16
193207,-0.02
193208,-0.15
193209,0.16
193210,0.19
193211,-0.26
193212,-0.30
193301,-0.59
193302,-0.73
193303,-0.47
193304,-0.34
193305,-0.28
193306,-0.30
193307,-0.15
193308,-0.16
193309,-0.29
193310,-0.12
193311,-0.13
193312,-0.69
193401,-0.38
193402,0.44
193403,-0.47
193404,-0.44
193405,0.21
193406,-0.02
193407,-0.04
193408,-0.05
193409,-0.36
193410,0.02
193411,0.26
193412,0.12
193501,-0.56
193502,0.92
193503,0.03
193504,-0.64
193505,-0.35
193506,-0.20
193507,-0.06
193508,-0.10
193509,-0.08
193510,0.09
193511,-0.76
193512,-0.34
193601,-0.58
193602,-0.80
193603,-0.26
193604,-0.34
193605,-0.03
193606,-0.09
193607,0.23
193608,-0.02
193609,-0.07
193610,0.10
193611,0.16
193612,0.23
193701,-0.49
193702,0.23
193703,-0.49
193704,-0.33
193705,0.08
193706,0.19
193707,-0.02
193708,0.12
193709,0.29
193710,0.31
193711,0.19
193712,-0.26
193801,0.17
193802,0.14
193803,0.32
193804,0.53
193805,0.17
193806,-0.11
193807,0.05
193808,0.08
193809,0.28
193810,0.34
193811,0.40
193812,-0.26
193901,0.18
193902,0.04
193903,-0.35
193904,-0.18
193905,0.16
193906,0.10
193907,0.06
193908,0.10
193909,-0.08
193910,-0.18
193911,0.08
193912,1.25
194001,-0.46
194002,0.10
194003,0.05
194004,0.26
194005,-0.03
194006,0.10
194007,0.15
194008,0.01
194009,0.22
194010,0.08
194011,0.00
194012,0.43
194101,0.03
194102,0.28
194103,-0.01
194104,0.20
194105,0.16
194106,0.21
194107,0.25
194108,0.18
194109,-0.17
194110,0.32
194111,-0.13
194112,-0.06
194201,0.34
194202,-0.30
194203,0.01
194204,0.01
194205,-0.01
194206,0.15
194207,-0.09
194208,-0.06
194209,0.08
194210,0.17
194211,0.27
194212,0.14
194301,-0.37
194302,0.29
194303,-0.12
194304,0.24
194305,0.19
194306,-0.29
194307,0.00
194308,-0.11
194309,0.01
194310,0.42
194311,0.12
194312,0.57
194401,0.80
194402,0.36
194403,0.35
194404,0.01
194405,0.08
194406,0.12
194407,0.15
194408,0.15
194409,0.42
194410,0.38
194411,-0.09
194412,-0.29
194501,-0.18
194502,-0.64
194503,-0.14
194504,0.23
194505,-0.11
194506,-0.05
194507,-0.11
194508,0.39
194509,0.15
194510,0.21
194511,-0.02
194512,-0.52
194601,0.33
194602,0.31
194603,-0.10
194604,0.42
194605,-0.01
194606,-0.23
194607,-0.02
194608,-0.03
194609,-0.05
194610,-0.04
194611,0.06
194612,-0.68
194701,-0.32
194702,-0.14
194703,0.35
194704,0.26
194705,0.01
194706,0.01
194707,-0.08
194708,-0.07
194709,0.03
194710,0.47
194711,0.16
194712,-0.13
194801,0.61
194802,-0.02
194803,-0.33
194804,0.05
194805,0.21
194806,0.12
194807,0.04
194808,0.03
194809,0.04
194810,0.13
194811,0.06
194812,-0.19
194901,0.49
194902,-0.40
194903,-0.16
194904,0.03
194905,0.11
194906,-0.20
194907,-0.17
194908,0.00
194909,-0.15
194910,0.04
194911,0.06
194912,-0.35
195001,-0.76
195002,-0.46
195003,-0.11
195004,-0.31
195005,-0.02
195006,-0.12
195007,-0.29
195008,-0.38
195009,-0.11
195010,-0.25
195011,-0.83
195012,-0.15
195101,-0.58
195102,-0.99
195103,-0.26
195104,-0.11
195105,0.16
195106,-0.11
195107,0.03
195108,0.10
195109,0.32
195110,0.19
195111,-0.02
195112,0.59
195201,0.31
195202,0.06
195203,-0.31
195204,0.05
195205,0.03
195206,0.01
195207,0.13
195208,0.05
195209,0.16
195210,-0.23
195211,-0.72
195212,-0.12
195301,0.21
195302,0.39
195303,0.49
195304,0.36
195305,0.18
195306,0.18
195307,0.06
195308,0.14
195309,0.16
195310,0.20
195311,-0.23
195312,0.27
195401,-0.68
195402,-0.20
195403,-0.20
195404,-0.28
195405,-0.36
195406,-0.07
195407,-0.12
195408,0.04
195409,0.08
195410,0.11
195411,0.41
195412,-0.23
195501,0.66
195502,-0.05
195503,-0.73
195504,-0.45
195505,-0.09
195506,0.01
195507,-0.19
195508,0.14
195509,-0.02
195510,0.09
195511,-0.29
195512,-0.43
195601,-0.40
195602,-0.61
195603,-0.42
195604,-0.51
195605,-0.42
195606,-0.22
195607,-0.22
195608,-0.40
195609,-0.41
195610,-0.38
195611,-0.41
195612,-0.39
195701,-0.32
195702,-0.35
195703,-0.30
195704,-0.27
195705,-0.07
195706,0.12
195707,-0.16
195708,0.06
195709,0.13
195710,-0.04
195711,0.19
195712,0.63
195801,0.77
195802,0.39
195803,0.12
195804,0.11
195805,0.18
195806,-0.06
195807,0.07
195808,-0.01
195809,-0.14
195810,0.00
195811,0.16
195812,0.26
195901,0.23
195902,0.06
195903,0.57
195904,0.26
195905,-0.07
195906,0.19
195907,0.11
195908,0.05
195909,0.13
195910,-0.17
195911,-0.33
195912,0.00
196001,0.07
196002,0.66
196003,-0.73
196004,-0.22
196005,-0.43
196006,0.15
196007,-0.09
196008,0.03
196009,0.08
196010,0.02
196011,-0.24
196012,0.66
196101,0.31
196102,0.41
196103,0.41
196104,0.19
196105,0.25
196106,0.17
196107,0.01
196108,0.01
196109,0.03
196110,-0.22
196111,0.06
196112,-0.16
196201,0.36
196202,0.50
196203,0.34
196204,0.20
196205,0.01
196206,-0.14
196207,-0.01
196208,-0.04
196209,0.02
196210,0.17
196211,0.19
196212,0.35
196301,0.17
196302,0.91
196303,0.04
196304,-0.16
196305,-0.18
196306,-0.10
196307,0.18
196308,0.21
196309,0.32
196310,0.61
196311,0.47
196312,0.13
196401,0.13
196402,-0.19
196403,-0.29
196404,-0.35
196405,-0.09
196406,-0.16
196407,-0.15
196408,-0.19
196409,-0.29
196410,-0.48
196411,-0.15
196412,-0.34
196501,0.12
196502,-0.38
196503,-0.08
196504,-0.41
196505,-0.10
196506,-0.06
196507,-0.16
196508,-0.17
196509,-0.15
196510,0.15
196511,-0.24
196512,0.06
196601,-0.15
196602,-0.03
196603,0.12
196604,-0.27
196605,-0.02
196606,0.19
196607,0.17
196608,0.10
196609,0.09
196610,-0.14
196611,-0.16
196612,-0.47
196701,-0.20
196702,-0.38
196703,0.10
196704,0.13
196705,0.34
196706,-0.20
196707,-0.11
196708,-0.11
196709,-0.09
196710,0.53
196711,0.10
196712,0.12
196801,-0.34
196802,-0.06
196803,0.87
196804,-0.03
196805,-0.21
196806,-0.22
196807,-0.15
196808,-0.17
196809,-0.20
196810,-0.10
196811,-0.19
196812,-0.47
196901,-1.04
196902,-0.87
196903,-0.04
196904,0.11
196905,0.05
196906,-0.03
196907,0.12
196908,0.02
196909,-0.06
196910,-0.03
196911,0.41
196912,0.48
197001,0.08
197002,0.57
197003,-0.12
197004,0.22
197005,0.02
197006,0.15
197007,0.10
197008,-0.01
197009,0.03
197010,-0.21
197011,-0.01
197012,-0.22
197101,0.12
197102,-0.37
197103,-0.13
197104,-0.15
197105,-0.08
197106,-0.16
197107,-0.06
197108,-0.03
197109,0.12
197110,-0.02
197111,0.38
197112,0.17
197201,-0.88
197202,-0.76
197203,0.02
197204,0.03
197205,-0.05
197206,0.08
197207,-0.06
197208,0.06
197209,-0.21
197210,-0.06
197211,-0.23
197212,0.16
197301,0.29
197302,0.83
197303,0.79
197304,0.52
197305,0.36
197306,0.48
197307,0.23
197308,0.15
197309,0.06
197310,0.10
197311,0.02
197312,0.29
197401,-0.61
197402,-0.63
197403,0.10
197404,0.09
197405,-0.05
197406,-0.08
197407,0.06
197408,-0.04
197409,-0.17
197410,-0.28
197411,-0.22
197412,-0.30
197501,0.39
197502,0.14
197503,0.43
197504,0.30
197505,0.24
197506,0.20
197507,0.10
197508,-0.08
197509,0.22
197510,-0.11
197511,-0.16
197512,0.08
197601,0.27
197602,-0.20
197603,-0.66
197604,0.11
197605,-0.16
197606,-0.22
197607,-0.23
197608,-0.20
197609,-0.04
197610,-0.83
197611,-0.43
197612,-0.13
197701,-0.47
197702,0.33
197703,0.68
197704,0.59
197705,0.43
197706,0.46
197707,0.21
197708,0.10
197709,0.17
197710,-0.04
197711,0.57
197712,0.08
197801,0.18
197802,0.21
197803,0.48
197804,0.31
197805,0.05
197806,-0.09
197807,-0.02
197808,-0.22
197809,0.02
197810,0.08
197811,0.33
197812,0.05
197901,-0.05
197902,-0.17
197903,0.29
197904,-0.19
197905,0.10
197906,0.13
197907,0.10
197908,0.18
197909,0.20
197910,0.35
197911,0.25
197912,0.97
198001,0.20
198002,0.44
198003,0.03
198004,0.44
198005,0.50
198006,0.26
198007,0.23
198008,0.25
198009,0.21
198010,0.26
198011,0.64
198012,0.39
198101,1.20
198102,0.90
198103,0.97
198104,0.69
198105,0.33
198106,0.29
198107,0.22
198108,0.39
198109,0.15
198110,0.05
198111,0.29
198112,0.90
198201,-0.12
198202,0.18
198203,-0.13
198204,0.34
198205,0.15
198206,-0.01
198207,0.20
198208,0.13
198209,0.24
198210,-0.05
198211,-0.17
198212,0.72
198301,0.89
198302,0.86
198303,0.63
198304,0.24
198305,0.33
198306,0.19
198307,0.35
198308,0.53
198309,0.51
198310,0.27
198311,1.00
198312,0.33
198401,0.38
198402,0.00
198403,0.47
198404,0.09
198405,0.60
198406,0.07
198407,0.06
198408,0.15
198409,-0.09
198410,0.06
198411,-0.22
198412,-0.73
198501,0.32
198502,-0.35
198503,0.29
198504,0.28
198505,0.30
198506,0.10
198507,-0.11
198508,0.20
198509,-0.05
198510,0.05
198511,0.01
198512,0.21
198601,0.76
198602,0.53
198603,0.63
198604,0.52
198605,0.44
198606,0.31
198607,0.06
198608,0.18
198609,0.03
198610,0.08
198611,-0.05
198612,0.16
198701,0.48
198702,1.16
198703,0.13
198704,0.33
198705,0.43
198706,0.31
198707,0.55
198708,0.34
198709,0.48
198710,0.20
198711,0.10
198712,0.91
198801,0.81
198802,0.36
198803,0.75
198804,0.70
198805,0.56
198806,0.64
198807,0.53
198808,0.47
198809,0.51
198810,0.47
198811,0.40
198812,0.82
198901,0.20
198902,0.49
198903,0.66
198904,0.34
198905,0.38
198906,0.22
198907,0.30
198908,0.27
198909,0.27
198910,0.38
198911,0.17
198912,0.74
199001,0.57
199002,0.61
199003,1.68
199004,0.80
199005,0.60
199006,0.53
199007,0.29
199008,0.44
199009,0.31
199010,0.60
199011,0.83
199012,0.69
199101,0.70
199102,0.83
199103,0.42
199104,0.83
199105,0.48
199106,0.72
199107,0.48
199108,0.41
199109,0.49
199110,0.42
199111,0.37
199112,0.30
199201,0.99
199202,0.83
199203,0.75
199204,0.28
199205,0.28
199206,0.13
199207,-0.20
199208,-0.05
199209,-0.25
199210,-0.11
199211,-0.14
199212,0.46
199301,0.68
199302,0.69
199303,0.83
199304,0.38
199305,0.38
199306,0.32
199307,0.28
199308,0.21
199309,0.04
199310,0.24
199311,-0.31
199312,0.52
199401,0.48
199402,-0.28
199403,0.72
199404,0.59
199405,0.66
199406,0.64
199407,0.33
199408,0.31
199409,0.47
199410,0.66
199411,0.72
199412,0.54
199501,1.04
199502,1.59
199503,0.83
199504,0.62
199505,0.48
199506,0.76
199507,0.53
199508,0.81
199509,0.66
199510,0.76
199511,0.75
199512,0.51
199601,0.20
199602,0.78
199603,0.32
199604,0.09
199605,0.57
199606,0.36
199607,0.44
199608,0.36
199609,0.11
199610,0.13
199611,0.28
199612,0.55
199701,0.52
199702,0.74
199703,0.79
199704,0.61
199705,0.43
199706,0.64
199707,0.48
199708,0.60
199709,0.77
199710,0.82
199711,0.60
199712,0.74
199801,0.73
199802,1.69
199803,0.93
199804,1.23
199805,0.99
199806,1.00
199807,1.14
199808,1.11
199809,0.83
199810,0.73
199811,0.34
199812,1.12
199901,1.01
199902,1.70
199903,0.37
199904,0.78
199905,0.64
199906,0.63
199907,0.67
199908,0.55
199909,0.66
199910,0.63
199911,0.63
199912,1.20
200001,0.51
200002,1.08
200003,1.08
200004,1.34
200005,0.74
200006,0.63
200007,0.54
200008,0.68
200009,0.51
200010,0.22
200011,0.07
200012,0.22
200101,0.75
200102,0.53
200103,1.19
200104,0.96
200105,1.04
200106,0.70
200107,0.83
200108,0.91
200109,0.69
200110,0.60
200111,1.33
200112,0.77
200201,1.41
200202,1.71
200203,1.57
200204,0.77
200205,0.80
200206,0.77
200207,0.99
200208,0.84
200209,0.84
200210,0.54
200211,0.95
200212,0.41
200301,1.34
200302,0.95
200303,0.86
200304,0.86
200305,0.95
200306,0.70
200307,0.75
200308,0.89
200309,0.87
200310,1.15
200311,0.70
200312,1.47
200401,0.95
200402,1.31
200403,1.30
200404,0.86
200405,0.48
200406,0.58
200407,0.41
200408,0.50
200409,0.66
200410,0.82
200411,1.41
200412,0.63
200501,1.09
200502,0.75
200503,1.35
200504,1.32
200505,0.99
200506,1.03
200507,0.96
200508,0.82
200509,1.11
200510,1.21
200511,1.46
200512,1.15
200601,0.70
200602,1.32
200603,1.17
200604,0.74
200605,0.68
200606,1.06
200607,0.91
200608,0.95
200609,0.88
200610,1.07
200611,0.88
200612,1.49
200701,1.97
200702,1.15
200703,1.25
200704,1.47
200705,1.11
200706,0.76
200707,0.83
200708,0.91
200709,1.03
200710,1.03
200711,1.11
200712,0.99
200801,0.22
200802,0.60
200803,1.87
200804,0.83
200805,0.84
200806,0.80
200807,0.87
200808,0.76
200809,0.71
200810,1.24
200811,1.33
200812,0.83
200901,1.06
200902,1.04
200903,1.01
200904,1.10
200905,0.77
200906,0.79
200907,0.75
200908,0.93
200909,1.16
200910,0.85
200911,1.01
200912,0.59
201001,1.03
201002,1.19
201003,1.56
201004,1.43
201005,1.22
201006,1.18
201007,1.14
201008,1.05
201009,0.91
201010,1.11
201011,1.57
201012,0.60
201101,0.62
201102,0.59
201103,1.00
201104,1.22
201105,0.83
201106,1.03
201107,1.04
201108,1.05
201109,0.99
201110,1.15
201111,0.70
201112,1.00
201201,0.64
201202,0.53
201203,0.90
201204,1.48
201205,1.35
201206,1.24
201207,1.04
201208,0.97
201209,1.12
201210,1.05
201211,1.15
201212,0.32
201301,1.04
201302,1.21
201303,1.11
201304,0.80
201305,1.15
201306,1.10
201307,0.83
201308,0.88
201309,0.97
201310,0.96
201311,1.49
201312,1.10
201401,1.16
201402,0.36
201403,1.39
201404,1.36
201405,1.21
201406,1.01
201407,0.81
201408,1.08
201409,0.99
201410,1.03
201411,0.74
201412,1.36
201501,1.48
201502,1.69
201503,1.70
201504,1.18
201505,1.34
201506,1.31
201507,1.07
201508,1.20
201509,1.26
201510,1.49
201511,1.39
201512,1.98
201601,1.69
201602,2.43
201603,2.53
201604,1.96
201605,1.32
201606,1.24
201607,1.19
201608,1.40
201609,1.39
201610,0.90
201611,1.11
201612,1.31
201701,1.66
201702,1.79
201703,1.98
201704,1.43
201705,1.30
201706,1.20
201707,1.23
201708,1.28
201709,1.27
201710,1.13
201711,1.18
201712,1.57
201801,1.18
201802,1.22
201803,1.61
201804,1.36
201805,1.26
201806,1.13
201807,1.20
201808,1.05
201809,1.10
201810,1.34
201811,0.91
201812,1.25
201901,1.65
201902,1.18
201903,2.02
201904,1.58
201905,1.17
201906,1.32
201907,1.19
201908,1.13
201909,1.38
201910,1.42
201911,1.29
201912,1.76
202001,2.09
202002,2.27
202003,2.14
202004,1.65
202005,1.41
202006,1.30
202007,1.23
202008,1.28
202009,1.48
202010,1.22
202011,1.74
202012,1.29
202101,1.35
202102,0.93
202103,1.60
